season,week,defense,position,targets_allowed,rec_yds_allowed,rec_tds_allowed,carries_allowed,rush_yds_allowed,rush_tds_allowed,pass_yds_allowed,pass_tds_allowed,fpts_ppr_allowed,points_allowed
2026,1,LA,ALL,33,203,3,30,174,0,205,3,97.9,27.0
2026,1,LA,QB,0,0,0,5,29,0,205,3,21.1,27.0
2026,1,LA,RB,9,25,0,24,133,0,0,0,21.8,27.0
2026,1,LA,TE,7,31,0,0,0,0,0,0,7.1,27.0
2026,1,LA,WR,17,147,3,1,12,0,0,0,47.9,27.0
2026,1,NE,ALL,24,200,1,22,97,0,200,1,64.7,13.0
2026,1,NE,QB,0,0,0,2,13,0,200,1,13.299999999999999,13.0
2026,1,NE,RB,5,26,0,20,84,0,0,0,15.0,13.0
2026,1,NE,TE,2,13,0,0,0,0,0,0,3.3,13.0
2026,1,NE,WR,17,161,1,0,0,0,0,0,33.099999999999994,13.0
2026,1,SEA,ALL,31,178,1,31,109,0,178,1,62.82,10.0
2026,1,SEA,QB,0,0,0,7,47,0,178,1,9.82,10.0
2026,1,SEA,RB,8,53,0,24,62,0,0,0,18.5,10.0
2026,1,SEA,TE,4,28,1,0,0,0,0,0,12.8,10.0
2026,1,SEA,WR,19,97,0,0,0,0,0,0,21.7,10.0
2026,1,SF,ALL,27,168,0,29,122,1,168,0,54.72,7.0
2026,1,SF,QB,0,0,0,3,8,0,168,0,5.52,7.0
2026,1,SF,RB,4,29,0,26,114,1,0,0,24.3,7.0
2026,1,SF,TE,6,31,0,0,0,0,0,0,5.1,7.0
2026,1,SF,WR,17,108,0,0,0,0,0,0,19.8,7.0
