season,week,snapshot_dt,team,position,rank,gsis_id,name,prev_rank
2026,1,2026-09-12T11:36:06Z,ARI,QB,1,00-0033119,Jacoby Brissett,1.0
2026,1,2026-09-12T11:36:06Z,ARI,QB,2,00-0035289,Gardner Minshew II,2.0
2026,1,2026-09-12T11:36:06Z,ARI,QB,3,00-0041561,Carson Beck,3.0
2026,1,2026-09-12T11:36:06Z,ARI,RB,1,00-0041027,Jeremiyah Love,1.0
2026,1,2026-09-12T11:36:06Z,ARI,RB,2,00-0037263,Tyler Allgeier,2.0
2026,1,2026-09-12T11:36:06Z,ARI,RB,3,00-0037157,Bam Knight,3.0
2026,1,2026-09-12T11:36:06Z,ARI,RB,4,00-0033553,James Conner,4.0
2026,1,2026-09-12T11:36:06Z,ARI,RB,5,00-0039921,Trey Benson,5.0
2026,1,2026-09-12T11:36:06Z,ARI,TE,1,00-0037744,Trey McBride,1.0
2026,1,2026-09-12T11:36:06Z,ARI,TE,2,00-0039041,Elijah Higgins,2.0
2026,1,2026-09-12T11:36:06Z,ARI,TE,3,00-0037004,Hunter Long,3.0
2026,1,2026-09-12T11:36:06Z,ARI,TE,4,00-0039737,Tip Reiman,4.0
2026,1,2026-09-12T11:36:06Z,ARI,TE,5,00-0041366,Jameson Geers,5.0
2026,1,2026-09-12T11:36:06Z,ARI,WR,1,00-0039849,Marvin Harrison Jr.,1.0
2026,1,2026-09-12T11:36:06Z,ARI,WR,2,00-0038559,Michael Wilson,2.0
2026,1,2026-09-12T11:36:06Z,ARI,WR,3,00-0033307,Kendrick Bourne,3.0
2026,1,2026-09-12T11:36:06Z,ARI,WR,4,00-0038640,Jalen Brooks,4.0
2026,1,2026-09-12T11:36:06Z,ARI,WR,5,00-0036331,Devin Duvernay,5.0
2026,1,2026-09-12T11:36:06Z,ARI,WR,6,00-0041070,Reggie Virgil,6.0
2026,1,2026-09-12T11:36:06Z,ARI,WR,7,00-0036646,Simi Fehoko,7.0
2026,1,2026-09-12T11:36:06Z,ATL,QB,1,00-0036212,Tua Tagovailoa,1.0
2026,1,2026-09-12T11:36:06Z,ATL,QB,2,00-0039917,Michael Penix Jr.,2.0
2026,1,2026-09-12T11:36:06Z,ATL,QB,3,00-0033662,Cooper Rush,3.0
2026,1,2026-09-12T11:36:06Z,ATL,QB,4,00-0041194,Jack Strand,4.0
2026,1,2026-09-12T11:36:06Z,ATL,RB,1,00-0038542,Bijan Robinson,1.0
2026,1,2026-09-12T11:36:06Z,ATL,RB,2,00-0037746,Brian Robinson Jr.,2.0
2026,1,2026-09-12T11:36:06Z,ATL,RB,3,00-0036984,Trey Sermon,3.0
2026,1,2026-09-12T11:36:06Z,ATL,TE,1,00-0036970,Kyle Pitts Sr.,1.0
2026,1,2026-09-12T11:36:06Z,ATL,TE,2,00-0036429,Charlie Woerner,2.0
2026,1,2026-09-12T11:36:06Z,ATL,TE,3,00-0032392,Austin Hooper,3.0
2026,1,2026-09-12T11:36:06Z,ATL,WR,1,00-0037238,Drake London,1.0
2026,1,2026-09-12T11:36:06Z,ATL,WR,2,00-0037741,Jahan Dotson,2.0
2026,1,2026-09-12T11:36:06Z,ATL,WR,3,00-0035208,Olamide Zaccheaus,3.0
2026,1,2026-09-12T11:36:06Z,ATL,WR,4,00-0041044,Zachariah Branch,4.0
2026,1,2026-09-12T11:36:06Z,ATL,WR,5,00-0036463,Chris Blair,5.0
2026,1,2026-09-12T11:36:06Z,ATL,WR,6,00-0040432,Beaux Collins,6.0
2026,1,2026-09-12T11:36:06Z,BAL,QB,1,00-0034796,Lamar Jackson,1.0
2026,1,2026-09-12T11:36:06Z,BAL,QB,2,00-0035993,Tyler Huntley,2.0
2026,1,2026-09-12T11:36:06Z,BAL,QB,3,00-0040981,Joe Fagnano,3.0
2026,1,2026-09-12T11:36:06Z,BAL,QB,4,00-0037327,Skylar Thompson,4.0
2026,1,2026-09-12T11:36:06Z,BAL,RB,1,00-0032764,Derrick Henry,1.0
2026,1,2026-09-12T11:36:06Z,BAL,RB,2,00-0034975,Justice Hill,2.0
2026,1,2026-09-12T11:36:06Z,BAL,RB,3,00-0039796,Rasheen Ali,3.0
2026,1,2026-09-12T11:36:06Z,BAL,RB,4,00-0040888,Adam Randall,4.0
2026,1,2026-09-12T11:36:06Z,BAL,TE,1,00-0034753,Mark Andrews,1.0
2026,1,2026-09-12T11:36:06Z,BAL,TE,2,00-0034798,Durham Smythe,2.0
2026,1,2026-09-12T11:36:06Z,BAL,TE,3,00-0040879,Matthew Hibner,3.0
2026,1,2026-09-12T11:36:06Z,BAL,TE,4,00-0040887,Josh Cuevas,4.0
2026,1,2026-09-12T11:36:06Z,BAL,WR,1,00-0039064,Zay Flowers,1.0
2026,1,2026-09-12T11:36:06Z,BAL,WR,2,00-0036550,Rashod Bateman,2.0
2026,1,2026-09-12T11:36:06Z,BAL,WR,3,00-0040870,Ja'Kobi Lane,3.0
2026,1,2026-09-12T11:36:06Z,BAL,WR,4,00-0039792,Devontez Walker,4.0
2026,1,2026-09-12T11:36:06Z,BAL,WR,5,00-0040876,Elijah Sarratt,5.0
2026,1,2026-09-12T11:36:06Z,BAL,WR,6,00-0040075,LaJohntay Wester,6.0
2026,1,2026-09-12T11:36:06Z,BUF,QB,1,00-0034857,Josh Allen,1.0
2026,1,2026-09-12T11:36:06Z,BUF,QB,2,00-0034577,Kyle Allen,2.0
2026,1,2026-09-12T11:36:06Z,BUF,RB,1,00-0037248,James Cook III,1.0
2026,1,2026-09-12T11:36:06Z,BUF,RB,2,00-0039875,Ray Davis,2.0
2026,1,2026-09-12T11:36:06Z,BUF,RB,3,00-0035537,Ty Johnson,3.0
2026,1,2026-09-12T11:36:06Z,BUF,TE,1,00-0038933,Dalton Kincaid,1.0
2026,1,2026-09-12T11:36:06Z,BUF,TE,2,00-0035689,Dawson Knox,2.0
2026,1,2026-09-12T11:36:06Z,BUF,TE,3,00-0040194,Jackson Hawes,3.0
2026,1,2026-09-12T11:36:06Z,BUF,TE,4,00-0040363,Keleki Latu,4.0
2026,1,2026-09-12T11:36:06Z,BUF,WR,1,00-0034827,DJ Moore,1.0
2026,1,2026-09-12T11:36:06Z,BUF,WR,2,00-0037261,Khalil Shakir,2.0
2026,1,2026-09-12T11:36:06Z,BUF,WR,3,00-0039901,Keon Coleman,3.0
2026,1,2026-09-12T11:36:06Z,BUF,WR,4,00-0036988,Joshua Palmer,4.0
2026,1,2026-09-12T11:36:06Z,BUF,WR,5,00-0041443,Skyler Bell,5.0
2026,1,2026-09-12T11:36:06Z,BUF,WR,6,00-0038679,Tyrell Shavers,6.0
2026,1,2026-09-12T11:36:06Z,CAR,QB,1,00-0039150,Bryce Young,1.0
2026,1,2026-09-12T11:36:06Z,CAR,QB,2,00-0038102,Kenny Pickett,2.0
2026,1,2026-09-12T11:36:06Z,CAR,QB,3,00-0041149,Haynes King,3.0
2026,1,2026-09-12T11:36:06Z,CAR,RB,1,00-0036555,Chuba Hubbard,1.0
2026,1,2026-09-12T11:36:06Z,CAR,RB,2,00-0039344,Jonathon Brooks,2.0
2026,1,2026-09-12T11:36:06Z,CAR,RB,3,00-0036265,AJ Dillon,3.0
2026,1,2026-09-12T11:36:06Z,CAR,RB,4,00-0040644,Trevor Etienne,4.0
2026,1,2026-09-12T11:36:06Z,CAR,TE,1,00-0037005,Tommy Tremble,1.0
2026,1,2026-09-12T11:36:06Z,CAR,TE,2,00-0040187,Mitchell Evans,2.0
2026,1,2026-09-12T11:36:06Z,CAR,TE,3,00-0031610,Darren Waller,3.0
