gsis_id,sleeper_id,espn_id,pfr_id,name,team,position,age,years_exp,rookie_year,draft_number,nfl_status,injury_status,injury_note,injury_body_part,injury_start_date,practice_participation,practice_description,news_updated,sleeper_depth_order,sleeper_status,sleeper_active
00-0023459,96,8439,RodgAa00,Aaron Rodgers,PIT,QB,42.8,21,2005,24.0,ACT,,,,,,,1788648925114.0,1.0,Active,True
00-0026158,19,11252,FlacJo00,Joe Flacco,CIN,QB,41.6,18,2008,18.0,ACT,,,,,,,1781961641331.0,2.0,Active,True
00-0026300,260,11394,JohnJo05,Josh Johnson,CIN,QB,40.3,18,2008,160.0,DEV,,,,,,,1788302424141.0,,Active,True
00-0026498,421,12483,StafMa00,Matthew Stafford,LA,QB,38.6,17,2009,1.0,ACT,,,,,,,1788575124438.0,1.0,Active,True
00-0027973,829,14012,DaltAn00,Andy Dalton,PHI,QB,38.9,15,2011,35.0,ACT,,,,,,,1787976042564.0,2.0,Active,True
00-0028118,827,14163,TaylTy00,Tyrod Taylor,GB,QB,37.1,15,2011,180.0,ACT,,,,,,,1779916830172.0,2.0,Active,True
00-0028986,1737,15168,KeenCa00,Case Keenum,CHI,QB,38.6,14,2012,,ACT,,,,,,,1780608036183.0,2.0,Active,True
00-0029604,1166,14880,CousKi00,Kirk Cousins,LV,QB,38.1,14,2012,102.0,ACT,,,,,,,1788368130750.0,1.0,Active,True
00-0029892,1379,16002,JuszKy00,Kyle Juszczyk,SF,RB,35.4,13,2013,130.0,ACT,,,,,,,,,,
00-0030035,1689,16460,ThieAd00,Adam Thielen,MIN,WR,36.0,13,2013,,RET,NA,,Undisclosed,,,,1768415702261.0,,Active,True
00-0030279,1479,15818,AlleKe00,Keenan Allen,IND,WR,34.4,13,2013,76.0,ACT,,,,,,,1788831044055.0,3.0,Active,True
00-0030506,1466,15847,KelcTr00,Travis Kelce,KC,TE,36.9,13,2013,63.0,ACT,,,,,,,1788442540618.0,1.0,Active,True
