season,week,gsis_id,source,pulled_at,team,position,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share
2026,1,00-0023459,sleeper,2026-09-12T17:31:48Z,PIT,QB,29.81,196.95,1.79,1.13,1.35,4.4,0.04,,,,,14.45,14.45,14.45,1.35,0.048,
2026,1,00-0026158,sleeper,2026-09-12T17:31:48Z,CIN,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0026300,sleeper,2026-09-12T17:31:48Z,CIN,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0026498,sleeper,2026-09-12T17:31:48Z,LA,QB,32.57,245.83,2.13,0.46,1.31,1.82,0.05,,,,,18.23,18.23,18.23,1.31,0.047,
2026,1,00-0027973,sleeper,2026-09-12T17:31:48Z,PHI,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0028118,sleeper,2026-09-12T17:31:48Z,GB,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0028986,sleeper,2026-09-12T17:31:48Z,CHI,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0029604,sleeper,2026-09-12T17:31:48Z,LV,QB,29.51,225.81,1.72,0.57,1.72,4.49,0.07,,,,,16.04,16.04,16.04,1.72,0.065,
2026,1,00-0029892,sleeper,2026-09-12T17:31:48Z,SF,RB,,,,,0.11,0.39,0.0,0.92,0.71,5.76,0.06,1.68,1.32,0.96,1.03,0.004,0.03
2026,1,00-0030035,sleeper,2026-09-12T17:31:48Z,MIN,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0030279,sleeper,2026-09-12T17:31:48Z,IND,WR,,,,,,,,4.86,3.27,39.17,0.15,8.12,6.48,4.84,4.86,,0.15
2026,1,00-0030506,sleeper,2026-09-12T17:31:48Z,KC,TE,,,,,,,,5.92,4.24,39.59,0.22,9.51,7.39,5.27,5.92,,0.185
2026,1,00-0030565,sleeper,2026-09-12T17:31:48Z,NYJ,QB,29.81,233.65,1.49,0.51,3.0,12.1,0.12,,,,,16.58,16.58,16.58,3.0,0.11,
2026,1,00-0031235,sleeper,2026-09-12T17:31:48Z,NYG,WR,,,,,,,,1.93,1.29,16.37,0.11,3.61,2.97,2.32,1.93,,0.062
2026,1,00-0031237,sleeper,2026-09-12T17:31:48Z,DET,QB,,,,,,,,,,,,,,,0.0,,
