season,week,team,opponent,home,gameday,spread_line,total_line,roof
2026,1,ARI,LAC,0,2026-09-13,9.5,47.5,dome
2026,1,ATL,PIT,0,2026-09-13,6.0,41.5,outdoors
2026,1,BAL,IND,0,2026-09-13,-3.5,47.5,
2026,1,BUF,HOU,0,2026-09-13,-1.5,44.5,
2026,1,CAR,CHI,1,2026-09-13,3.0,47.5,outdoors
2026,1,CHI,CAR,0,2026-09-13,-3.0,47.5,outdoors
2026,1,CIN,TB,1,2026-09-13,-3.5,50.5,outdoors
2026,1,CLE,JAX,0,2026-09-13,8.5,39.5,outdoors
2026,1,DAL,NYG,0,2026-09-13,-3.0,48.5,outdoors
2026,1,DEN,KC,0,2026-09-14,2.5,43.5,outdoors
2026,1,DET,NO,1,2026-09-13,-7.0,49.5,dome
2026,1,GB,MIN,0,2026-09-13,2.5,46.5,dome
2026,1,HOU,BUF,1,2026-09-13,1.5,44.5,
2026,1,IND,BAL,1,2026-09-13,3.5,47.5,
2026,1,JAX,CLE,1,2026-09-13,-8.5,39.5,outdoors
2026,1,KC,DEN,1,2026-09-14,-2.5,43.5,outdoors
2026,1,LA,SF,1,2026-09-10,-3.5,47.5,dome
2026,1,LAC,ARI,1,2026-09-13,-9.5,47.5,dome
2026,1,LV,MIA,1,2026-09-13,-3.0,40.5,dome
2026,1,MIA,LV,0,2026-09-13,3.0,40.5,dome
2026,1,MIN,GB,1,2026-09-13,-2.5,46.5,dome
2026,1,NE,SEA,0,2026-09-09,3.0,44.5,outdoors
2026,1,NO,DET,0,2026-09-13,7.0,49.5,dome
2026,1,NYG,DAL,1,2026-09-13,3.0,48.5,outdoors
2026,1,NYJ,TEN,0,2026-09-13,1.5,38.5,outdoors
2026,1,PHI,WAS,1,2026-09-13,-6.0,44.5,outdoors
2026,1,PIT,ATL,1,2026-09-13,-6.0,41.5,outdoors
2026,1,SEA,NE,1,2026-09-09,-3.0,44.5,outdoors
2026,1,SF,LA,0,2026-09-10,3.5,47.5,dome
2026,1,TB,CIN,0,2026-09-13,3.5,50.5,outdoors
2026,1,TEN,NYJ,1,2026-09-13,-1.5,38.5,outdoors
2026,1,WAS,PHI,0,2026-09-13,6.0,44.5,outdoors
2026,2,ARI,SEA,1,2026-09-20,,,
2026,2,ATL,CAR,1,2026-09-20,-1.5,42.5,
2026,2,BAL,NO,1,2026-09-20,-7.5,46.5,outdoors
2026,2,BUF,DET,1,2026-09-17,-3.0,51.5,outdoors
2026,2,CAR,ATL,0,2026-09-20,1.5,42.5,
2026,2,CHI,MIN,1,2026-09-20,-3.0,45.5,outdoors
2026,2,CIN,HOU,0,2026-09-20,2.5,45.5,
2026,2,CLE,TB,0,2026-09-20,6.5,42.5,outdoors
2026,2,DAL,WAS,1,2026-09-20,-4.5,51.5,
2026,2,DEN,JAX,1,2026-09-20,-3.0,43.5,outdoors
2026,2,DET,BUF,0,2026-09-17,3.0,51.5,outdoors
2026,2,GB,NYJ,0,2026-09-20,-5.5,42.5,outdoors
2026,2,HOU,CIN,1,2026-09-20,-2.5,45.5,
2026,2,IND,KC,0,2026-09-20,6.5,47.5,outdoors
2026,2,JAX,DEN,0,2026-09-20,3.0,43.5,outdoors
2026,2,KC,IND,1,2026-09-20,-6.5,47.5,outdoors
2026,2,LA,NYG,1,2026-09-21,,,dome
2026,2,LAC,LV,1,2026-09-20,-9.5,42.5,dome
2026,2,LV,LAC,0,2026-09-20,9.5,42.5,dome
2026,2,MIA,SF,0,2026-09-20,12.5,45.5,outdoors
2026,2,MIN,CHI,0,2026-09-20,3.0,45.5,outdoors
2026,2,NE,PIT,1,2026-09-20,-4.5,43.5,outdoors
2026,2,NO,BAL,0,2026-09-20,7.5,46.5,outdoors
2026,2,NYG,LA,0,2026-09-21,,,dome
2026,2,NYJ,GB,1,2026-09-20,5.5,42.5,outdoors
2026,2,PHI,TEN,0,2026-09-20,-5.5,42.5,outdoors
2026,2,PIT,NE,0,2026-09-20,4.5,43.5,outdoors
2026,2,SEA,ARI,0,2026-09-20,,,
2026,2,SF,MIA,1,2026-09-20,-12.5,45.5,outdoors
2026,2,TB,CLE,1,2026-09-20,-6.5,42.5,outdoors
2026,2,TEN,PHI,1,2026-09-20,5.5,42.5,outdoors
2026,2,WAS,DAL,0,2026-09-20,4.5,51.5,
2026,3,ARI,SF,0,2026-09-27,,,outdoors
2026,3,ATL,GB,0,2026-09-24,7.5,46.5,outdoors
2026,3,BAL,DAL,0,2026-09-27,-2.5,51.5,
2026,3,BUF,LAC,1,2026-09-27,-3.0,48.5,outdoors
2026,3,CAR,CLE,0,2026-09-27,-1.5,39.5,outdoors
2026,3,CHI,PHI,1,2026-09-28,-1.5,46.5,outdoors
2026,3,CIN,PIT,0,2026-09-27,-1.5,46.5,outdoors
2026,3,CLE,CAR,1,2026-09-27,1.5,39.5,outdoors
2026,3,DAL,BAL,1,2026-09-27,2.5,51.5,
2026,3,DEN,LA,1,2026-09-27,,,outdoors
2026,3,DET,NYJ,1,2026-09-27,-9.5,45.5,dome
2026,3,GB,ATL,1,2026-09-24,-7.5,46.5,outdoors
2026,3,HOU,IND,0,2026-09-27,-1.5,45.5,
2026,3,IND,HOU,1,2026-09-27,1.5,45.5,
2026,3,JAX,NE,1,2026-09-27,,,outdoors
2026,3,KC,MIA,0,2026-09-27,-7.5,44.5,outdoors
2026,3,LA,DEN,0,2026-09-27,,,outdoors
2026,3,LAC,BUF,0,2026-09-27,3.0,48.5,outdoors
2026,3,LV,NO,0,2026-09-27,3.5,42.5,dome
2026,3,MIA,KC,1,2026-09-27,7.5,44.5,outdoors
2026,3,MIN,TB,0,2026-09-27,1.5,44.5,outdoors
2026,3,NE,JAX,0,2026-09-27,,,outdoors
2026,3,NO,LV,1,2026-09-27,-3.5,42.5,dome
2026,3,NYG,TEN,1,2026-09-27,-3.0,44.5,outdoors
2026,3,NYJ,DET,0,2026-09-27,9.5,45.5,dome
2026,3,PHI,CHI,0,2026-09-28,1.5,46.5,outdoors
2026,3,PIT,CIN,1,2026-09-27,1.5,46.5,outdoors
2026,3,SEA,WAS,0,2026-09-27,,,outdoors
2026,3,SF,ARI,1,2026-09-27,,,outdoors
2026,3,TB,MIN,1,2026-09-27,-1.5,44.5,outdoors
2026,3,TEN,NYG,0,2026-09-27,3.0,44.5,outdoors
2026,3,WAS,SEA,1,2026-09-27,,,outdoors
2026,4,ARI,NYG,0,2026-10-04,7.0,45.5,outdoors
2026,4,ATL,NO,0,2026-10-05,2.5,45.5,dome
2026,4,BAL,TEN,1,2026-10-04,-8.5,47.5,outdoors
2026,4,BUF,NE,1,2026-10-04,,,outdoors
2026,4,CAR,DET,1,2026-10-04,3.0,47.5,outdoors
2026,4,CHI,NYJ,1,2026-10-04,-8.5,45.5,outdoors
2026,4,CIN,JAX,1,2026-10-04,-2.5,51.5,outdoors
2026,4,CLE,PIT,1,2026-10-01,2.5,40.5,outdoors
2026,4,DAL,HOU,0,2026-10-04,2.5,47.5,
2026,4,DEN,SF,0,2026-10-04,,,outdoors
2026,4,DET,CAR,0,2026-10-04,-3.0,47.5,outdoors
2026,4,GB,TB,0,2026-10-04,-1.5,47.5,outdoors
2026,4,HOU,DAL,1,2026-10-04,-2.5,47.5,
2026,4,IND,WAS,0,2026-10-04,1.5,50.5,outdoors
2026,4,JAX,CIN,0,2026-10-04,2.5,51.5,outdoors
2026,4,KC,LV,0,2026-10-04,-5.5,43.5,dome
2026,4,LA,PHI,0,2026-10-04,,,outdoors
2026,4,LAC,SEA,0,2026-10-04,,,outdoors
2026,4,LV,KC,1,2026-10-04,5.5,43.5,dome
2026,4,MIA,MIN,0,2026-10-04,7.5,43.5,dome
2026,4,MIN,MIA,1,2026-10-04,-7.5,43.5,dome
2026,4,NE,BUF,0,2026-10-04,,,outdoors
2026,4,NO,ATL,1,2026-10-05,-2.5,45.5,dome
2026,4,NYG,ARI,1,2026-10-04,-7.0,45.5,outdoors
2026,4,NYJ,CHI,0,2026-10-04,8.5,45.5,outdoors
2026,4,PHI,LA,1,2026-10-04,,,outdoors
2026,4,PIT,CLE,0,2026-10-01,-2.5,40.5,outdoors
2026,4,SEA,LAC,1,2026-10-04,,,outdoors
2026,4,SF,DEN,1,2026-10-04,,,outdoors
2026,4,TB,GB,1,2026-10-04,1.5,47.5,outdoors
2026,4,TEN,BAL,0,2026-10-04,8.5,47.5,outdoors
2026,4,WAS,IND,1,2026-10-04,-1.5,50.5,outdoors
2026,5,ARI,DET,1,2026-10-11,8.5,48.5,
2026,5,ATL,BAL,1,2026-10-11,4.5,48.5,
2026,5,BAL,ATL,0,2026-10-11,-4.5,48.5,
2026,5,BUF,LA,0,2026-10-12,,,dome
2026,5,CAR,BYE,0,,,,
2026,5,CHI,GB,0,2026-10-11,3.0,49.5,outdoors
2026,5,CIN,MIA,0,2026-10-11,-6.0,49.5,outdoors
2026,5,CLE,NYJ,0,2026-10-11,2.5,39.5,outdoors
2026,5,DAL,TB,1,2026-10-08,-3.5,52.5,
2026,5,DEN,LAC,0,2026-10-11,2.5,44.5,dome
2026,5,DET,ARI,0,2026-10-11,-8.5,48.5,
2026,5,GB,CHI,1,2026-10-11,-3.0,49.5,outdoors
2026,5,HOU,TEN,0,2026-10-11,-3.5,43.5,outdoors
2026,5,IND,PIT,0,2026-10-11,2.5,47.5,outdoors
2026,5,JAX,PHI,1,2026-10-11,1.5,45.5,outdoors
2026,5,KC,BYE,0,,,,
2026,5,LA,BUF,1,2026-10-12,,,dome
2026,5,LAC,DEN,1,2026-10-11,-2.5,44.5,dome
2026,5,LV,NE,0,2026-10-11,,,outdoors
2026,5,MIA,CIN,1,2026-10-11,6.0,49.5,outdoors
2026,5,MIN,NO,0,2026-10-11,-1.5,44.5,dome
2026,5,NE,LV,1,2026-10-11,,,outdoors
2026,5,NO,MIN,1,2026-10-11,1.5,44.5,dome
2026,5,NYG,WAS,0,2026-10-11,2.5,48.5,outdoors
2026,5,NYJ,CLE,1,2026-10-11,-2.5,39.5,outdoors
2026,5,PHI,JAX,0,2026-10-11,-1.5,45.5,outdoors
2026,5,PIT,IND,1,2026-10-11,-2.5,47.5,outdoors
2026,5,SEA,SF,1,2026-10-11,,,outdoors
2026,5,SF,SEA,0,2026-10-11,,,outdoors
2026,5,TB,DAL,0,2026-10-08,3.5,52.5,
2026,5,TEN,HOU,1,2026-10-11,3.5,43.5,outdoors
2026,5,WAS,NYG,1,2026-10-11,-2.5,48.5,outdoors
2026,6,ARI,LA,0,2026-10-18,,,dome
2026,6,ATL,CHI,1,2026-10-18,3.0,47.5,
2026,6,BAL,CLE,0,2026-10-18,-6.5,44.5,outdoors
2026,6,BUF,LV,0,2026-10-18,-6.5,47.5,dome
2026,6,CAR,PHI,0,2026-10-18,6.5,43.5,outdoors
2026,6,CHI,ATL,0,2026-10-18,-3.0,47.5,
2026,6,CIN,BYE,0,,,,
2026,6,CLE,BAL,1,2026-10-18,6.5,44.5,outdoors
2026,6,DAL,GB,0,2026-10-18,3.0,51.5,outdoors
2026,6,DEN,SEA,1,2026-10-15,,,outdoors
2026,6,DET,BYE,0,,,,
2026,6,GB,DAL,1,2026-10-18,-3.0,51.5,outdoors
2026,6,HOU,JAX,0,2026-10-18,1.5,42.5,outdoors
2026,6,IND,TEN,1,2026-10-18,-3.5,47.5,
2026,6,JAX,HOU,1,2026-10-18,-1.5,42.5,outdoors
2026,6,KC,LAC,1,2026-10-18,-2.5,46.5,outdoors
2026,6,LA,ARI,1,2026-10-18,,,dome
2026,6,LAC,KC,0,2026-10-18,2.5,46.5,outdoors
2026,6,LV,BUF,1,2026-10-18,6.5,47.5,dome
2026,6,MIA,BYE,0,,,,
2026,6,MIN,BYE,0,,,,
2026,6,NE,NYJ,1,2026-10-18,,,outdoors
2026,6,NO,NYG,0,2026-10-18,2.5,44.5,outdoors
2026,6,NYG,NO,1,2026-10-18,-2.5,44.5,outdoors
2026,6,NYJ,NE,0,2026-10-18,,,outdoors
2026,6,PHI,CAR,1,2026-10-18,-6.5,43.5,outdoors
2026,6,PIT,TB,0,2026-10-18,1.5,45.5,outdoors
2026,6,SEA,DEN,0,2026-10-15,,,outdoors
2026,6,SF,WAS,1,2026-10-19,,,outdoors
2026,6,TB,PIT,1,2026-10-18,-1.5,45.5,outdoors
2026,6,TEN,IND,0,2026-10-18,3.5,47.5,
2026,6,WAS,SF,0,2026-10-19,,,outdoors
2026,7,ARI,DEN,1,2026-10-25,7.5,43.5,
2026,7,ATL,SF,1,2026-10-25,,,
2026,7,BAL,CIN,1,2026-10-25,-3.5,51.5,outdoors
2026,7,BUF,BYE,0,,,,
2026,7,CAR,TB,1,2026-10-25,1.5,45.5,outdoors
2026,7,CHI,NE,1,2026-10-22,,,outdoors
2026,7,CIN,BAL,0,2026-10-25,3.5,51.5,outdoors
2026,7,CLE,TEN,0,2026-10-25,2.5,40.5,outdoors
2026,7,DAL,PHI,0,2026-10-26,3.0,48.5,outdoors
2026,7,DEN,ARI,0,2026-10-25,-7.5,43.5,
2026,7,DET,GB,1,2026-10-25,-2.5,50.5,dome
2026,7,GB,DET,0,2026-10-25,2.5,50.5,dome
2026,7,HOU,NYG,1,2026-10-25,-5.5,43.5,
2026,7,IND,MIN,0,2026-10-25,2.5,46.5,dome
2026,7,JAX,BYE,0,,,,
2026,7,KC,SEA,0,2026-10-25,,,outdoors
2026,7,LA,LV,0,2026-10-25,,,dome
2026,7,LAC,BYE,0,,,,
2026,7,LV,LA,1,2026-10-25,,,dome
2026,7,MIA,NYJ,0,2026-10-25,2.5,41.5,outdoors
2026,7,MIN,IND,1,2026-10-25,-2.5,46.5,dome
2026,7,NE,CHI,0,2026-10-22,,,outdoors
2026,7,NO,PIT,1,2026-10-25,2.5,42.5,dome
2026,7,NYG,HOU,0,2026-10-25,5.5,43.5,
2026,7,NYJ,MIA,1,2026-10-25,-2.5,41.5,outdoors
2026,7,PHI,DAL,1,2026-10-26,-3.0,48.5,outdoors
2026,7,PIT,NO,0,2026-10-25,-2.5,42.5,dome
2026,7,SEA,KC,1,2026-10-25,,,outdoors
2026,7,SF,ATL,0,2026-10-25,,,
2026,7,TB,CAR,0,2026-10-25,-1.5,45.5,outdoors
2026,7,TEN,CLE,1,2026-10-25,-2.5,40.5,outdoors
2026,7,WAS,BYE,0,,,,
2026,8,ARI,DAL,0,2026-11-01,10.5,47.5,
2026,8,ATL,TB,0,2026-11-01,4.5,46.5,outdoors
2026,8,BAL,BUF,0,2026-11-01,2.5,51.5,outdoors
2026,8,BUF,BAL,1,2026-11-01,-2.5,51.5,outdoors
2026,8,CAR,GB,0,2026-10-29,7.0,45.5,outdoors
2026,8,CHI,SEA,0,2026-11-02,,,outdoors
2026,8,CIN,TEN,1,2026-11-01,-6.5,49.5,outdoors
2026,8,CLE,PIT,0,2026-11-01,6.0,39.5,outdoors
2026,8,DAL,ARI,1,2026-11-01,-10.5,47.5,
2026,8,DEN,KC,1,2026-11-01,-1.5,43.5,outdoors
2026,8,DET,MIN,1,2026-11-01,-4.5,47.5,dome
2026,8,GB,CAR,1,2026-10-29,-7.0,45.5,outdoors
2026,8,HOU,BYE,0,,,,
2026,8,IND,JAX,0,2026-11-01,4.5,49.5,outdoors
2026,8,JAX,IND,1,2026-11-01,-4.5,49.5,outdoors
2026,8,KC,DEN,0,2026-11-01,1.5,43.5,outdoors
2026,8,LA,LAC,1,2026-11-01,,,dome
2026,8,LAC,LA,0,2026-11-01,,,dome
2026,8,LV,NYJ,0,2026-11-01,1.5,40.5,outdoors
2026,8,MIA,NE,1,2026-11-01,,,outdoors
2026,8,MIN,DET,0,2026-11-01,4.5,47.5,dome
2026,8,NE,MIA,0,2026-11-01,,,outdoors
2026,8,NO,BYE,0,,,,
2026,8,NYG,BYE,0,,,,
2026,8,NYJ,LV,1,2026-11-01,-1.5,40.5,outdoors
2026,8,PHI,WAS,0,2026-11-01,-1.5,46.5,outdoors
2026,8,PIT,CLE,1,2026-11-01,-6.0,39.5,outdoors
2026,8,SEA,CHI,1,2026-11-02,,,outdoors
2026,8,SF,BYE,0,,,,
2026,8,TB,ATL,1,2026-11-01,-4.5,46.5,outdoors
2026,8,TEN,CIN,0,2026-11-01,6.5,49.5,outdoors
2026,8,WAS,PHI,1,2026-11-01,1.5,46.5,outdoors
2026,9,ARI,SEA,0,2026-11-08,,,outdoors
2026,9,ATL,CIN,1,2026-11-08,5.5,49.5,
2026,9,BAL,JAX,1,2026-11-05,-4.5,49.5,outdoors
2026,9,BUF,MIN,0,2026-11-09,,,dome
2026,9,CAR,DEN,1,2026-11-08,3.0,42.5,outdoors
2026,9,CHI,TB,1,2026-11-08,,,outdoors
2026,9,CIN,ATL,0,2026-11-08,-5.5,49.5,
2026,9,CLE,NO,0,2026-11-08,3.5,41.5,dome
2026,9,DAL,IND,0,2026-11-08,,,
2026,9,DEN,CAR,0,2026-11-08,-3.0,42.5,outdoors
2026,9,DET,MIA,0,2026-11-08,-6.5,47.5,outdoors
2026,9,GB,NE,0,2026-11-08,,,outdoors
2026,9,HOU,LAC,0,2026-11-08,,,dome
2026,9,IND,DAL,1,2026-11-08,,,
2026,9,JAX,BAL,0,2026-11-05,4.5,49.5,outdoors
2026,9,KC,NYJ,1,2026-11-08,,,outdoors
2026,9,LA,WAS,0,2026-11-08,,,outdoors
2026,9,LAC,HOU,1,2026-11-08,,,dome
2026,9,LV,SF,0,2026-11-08,,,outdoors
2026,9,MIA,DET,1,2026-11-08,6.5,47.5,outdoors
2026,9,MIN,BUF,1,2026-11-09,,,dome
2026,9,NE,GB,1,2026-11-08,,,outdoors
