gsis_id,name,team,position,espn_rank,sleeper_rank,depth_disagreement,status_flag,play_prob,injury_body_part,practice,news_age_hours,n_blockers,blockers_out,opportunity_ahead,blocked_by
00-0033119,Jacoby Brissett,ARI,QB,1,1.0,0.0,healthy,0.97,,,13.5,0,0,0.0,nobody
00-0035289,Gardner Minshew II,ARI,QB,2,2.0,0.0,healthy,0.97,,,635.3,1,0,0.0,Jacoby Brissett (healthy)
00-0041561,Carson Beck,ARI,QB,3,3.0,0.0,healthy,0.97,,,92.0,2,0,0.0,Jacoby Brissett (healthy); Gardner Minshew II (healthy)
00-0041027,Jeremiyah Love,ARI,RB,1,1.0,0.0,healthy,0.97,,,82.4,0,0,0.0,nobody
00-0037263,Tyler Allgeier,ARI,RB,2,2.0,0.0,healthy,0.97,,,69.4,1,0,0.015,Jeremiyah Love (healthy)
00-0037157,Bam Knight,ARI,RB,3,3.0,0.0,healthy,0.97,,,229.7,2,0,0.026,Jeremiyah Love (healthy); Tyler Allgeier (healthy)
00-0033553,James Conner,ARI,RB,4,4.0,0.0,ir,0.02,Foot,,330.7,3,0,0.026,Jeremiyah Love (healthy); Tyler Allgeier (healthy); Bam Knight (healthy)
00-0039921,Trey Benson,ARI,RB,5,6.0,1.0,ir,0.02,Knee,,710.1,4,1,0.026,Jeremiyah Love (healthy); Tyler Allgeier (healthy); Bam Knight (healthy); James Conner (ir)
00-0037744,Trey McBride,ARI,TE,1,1.0,0.0,healthy,0.97,,,83.1,0,0,0.0,nobody
00-0039041,Elijah Higgins,ARI,TE,2,2.0,0.0,healthy,0.97,,,635.1,1,0,0.009,Trey McBride (healthy)
00-0037004,Hunter Long,ARI,TE,3,3.0,0.0,healthy,0.97,,,597.6,2,0,0.01,Trey McBride (healthy); Elijah Higgins (healthy)
00-0039737,Tip Reiman,ARI,TE,4,5.0,1.0,pup,0.02,Ankle,,544.8,3,0,0.01,Trey McBride (healthy); Elijah Higgins (healthy); Hunter Long (healthy)
00-0041366,Jameson Geers,ARI,TE,5,7.0,2.0,ir,0.02,Undisclosed,,955.2,4,1,0.01,Trey McBride (healthy); Elijah Higgins (healthy); Hunter Long (healthy); Tip Reiman (pup)
00-0038559,Michael Wilson,ARI,WR,1,1.0,0.0,healthy,0.97,,,83.1,0,0,0.0,nobody
00-0039849,Marvin Harrison Jr.,ARI,WR,2,2.0,0.0,healthy,0.97,,,23.7,1,0,0.006,Michael Wilson (healthy)
00-0033307,Kendrick Bourne,ARI,WR,3,3.0,0.0,healthy,0.97,,,25.4,2,0,0.011,Michael Wilson (healthy); Marvin Harrison Jr. (healthy)
