kind,sleeper_id,count,gsis_id,name,position,team
add,11834,2669947,00-0039424,Devaughn Vele,WR,NO
add,13296,1632520,00-0041523,Caleb Douglas,WR,MIA
add,6130,1336977,00-0035250,Devin Singletary,RB,NYG
add,TB,1243200,,,,
add,13414,1030015,00-0041052,Kaelon Black,RB,SF
add,SF,704589,,,,
add,3161,650148,00-0032950,Carson Wentz,QB,MIN
add,12472,466520,00-0040466,Raheim Sanders,RB,CLE
add,12492,402408,00-0040134,Pat Bryant,WR,DEN
add,4993,400804,00-0034829,Mike Gesicki,TE,CIN
add,9228,323636,00-0039150,Bryce Young,QB,CAR
add,13337,294120,00-0041013,Emmett Johnson,RB,KC
add,9486,291363,00-0038393,Dontayvion Wicks,WR,PHI
add,3286,270420,00-0032775,Demarcus Robinson,WR,SF
add,4066,249248,00-0033881,Evan Engram,TE,DEN
add,12545,234440,00-0040743,Tyler Shough,QB,NO
add,4177,229476,00-0033555,Mack Hollins,WR,NE
add,4454,204240,00-0033307,Kendrick Bourne,WR,ARI
add,12501,187341,00-0040667,Matthew Golden,WR,GB
add,3634,176408,00-0032464,Kalif Raymond,WR,CHI
add,13330,163089,00-0041032,Kenyon Sadiq,TE,NYJ
add,12533,137808,00-0040242,Jacory Croskey-Merritt,RB,WAS
add,11646,135324,00-0039491,Jalen Coker,WR,CAR
add,2020,101080,,,,
add,11630,98460,00-0039739,Roman Wilson,WR,PIT
add,12534,94914,00-0040236,Kyle Monangai,RB,CHI
add,9758,93863,00-0039163,C.J. Stroud,QB,HOU
add,11729,84924,00-0039364,Sione Vaki,RB,DET
add,5854,84654,00-0035704,Drew Lock,QB,SEA
add,10236,83776,00-0038933,Dalton Kincaid,TE,BUF
add,12711,81300,,,,
add,8183,74780,00-0037834,Brock Purdy,QB,SF
add,8134,74439,00-0037261,Khalil Shakir,WR,BUF
add,9757,72240,00-0038551,Kendre Miller,RB,NO
add,11625,70832,00-0039890,Adonai Mitchell,WR,NYJ
add,8121,65328,00-0037816,Romeo Doubs,WR,NE
add,9482,61803,00-0039066,Michael Mayer,TE,LV
add,11610,54320,00-0039880,Malik Washington,WR,MIA
add,13301,54132,00-0041040,Antonio Williams,WR,WAS
add,6826,46350,00-0036290,Cole Kmet,TE,CHI
add,13545,44996,,,,
add,4035,43824,00-0033906,Alvin Kamara,RB,NO
add,13379,41028,,,,
add,12556,40768,,,,
add,7571,39434,00-0036550,Rashod Bateman,WR,BAL
add,1166,39376,00-0029604,Kirk Cousins,QB,LV
add,9480,39024,00-0038935,Brenton Strange,TE,JAX
add,5022,36904,00-0034351,Dallas Goedert,TE,PHI
add,7002,35192,00-0036040,Juwan Johnson,TE,NO
add,8161,35161,00-0038128,Malik Willis,QB,MIA
drop,JAX,581796,,,,
drop,5849,385848,00-0035228,Kyler Murray,QB,MIN
drop,DET,371997,,,,
drop,LV,271812,,,,
drop,9482,267759,00-0039066,Michael Mayer,TE,LV
drop,11581,239733,00-0039811,MarShawn Lloyd,RB,GB
drop,8180,218331,00-0037291,Jalen Nailor,WR,LV
drop,10235,218224,00-0039021,Roschon Johnson,RB,CHI
drop,10219,213039,00-0038611,Chris Rodriguez Jr.,RB,JAX
drop,10213,208014,00-0038563,Tre Tucker,WR,LV
drop,13413,192432,00-0040890,Cyrus Allen,WR,KC
drop,7567,182616,00-0036919,Kenny Gainwell,RB,TB
drop,9756,177363,00-0038994,Jordan Addison,WR,MIN
drop,8800,172620,00-0037563,Malik Davis,RB,DAL
drop,9511,172521,00-0038454,Keaton Mitchell,RB,LAC
drop,13298,166365,00-0041547,KC Concepcion,WR,CLE
drop,13311,162358,00-0041525,Chris Bell,WR,MIA
drop,11563,159672,00-0039732,Bo Nix,QB,DEN
drop,12469,154575,00-0040162,Dylan Sampson,RB,CLE
drop,MIN,145430,,,,
drop,11610,141152,00-0039880,Malik Washington,WR,MIA
drop,8121,140240,00-0037816,Romeo Doubs,WR,NE
drop,11624,138375,00-0039894,Xavier Worthy,WR,KC
drop,5045,137790,00-0034348,Courtland Sutton,WR,DEN
drop,13294,135628,00-0040867,Makai Lemon,WR,PHI
drop,10222,133182,00-0039146,Jayden Reed,WR,GB
drop,9225,130620,00-0038555,Tank Bigsby,RB,PHI
drop,12487,127928,00-0040737,Terrance Ferguson,TE,LA
drop,12530,124680,00-0040718,Travis Hunter,WR,JAX
drop,PIT,122133,,,,
drop,8205,118848,00-0037197,Isiah Pacheco,RB,DET
drop,9754,114359,00-0038544,Quentin Johnston,WR,LAC
drop,11603,107556,00-0039793,AJ Barner,TE,SEA
drop,7553,104923,00-0036970,Kyle Pitts,TE,ATL
drop,12493,101700,00-0040189,Oronde Gadsden II,TE,LAC
drop,421,100935,00-0026498,Matthew Stafford,QB,LA
drop,2505,96723,00-0031610,Darren Waller,TE,CAR
drop,8110,96635,00-0038041,Jake Ferguson,TE,DAL
drop,11237,96355,00-0038896,Jacob Saylors,RB,DET
drop,2078,95249,00-0031235,Odell Beckham Jr.,WR,NYG
drop,6783,94644,00-0036407,Jerry Jeudy,WR,CLE
drop,NE,92771,,,,
drop,4035,92504,00-0033906,Alvin Kamara,RB,NO
drop,LAC,91240,,,,
drop,13285,89640,00-0041042,Malachi Fields,WR,NYG
drop,7528,86580,00-0036893,Najee Harris,RB,NYG
drop,13293,83252,00-0040870,Ja'Kobi Lane,WR,BAL
drop,9500,79015,00-0038997,Josh Downs,WR,IND
drop,7049,74459,00-0036259,Jauan Jennings,WR,MIN
drop,11655,74100,00-0039384,Tyrone Tracy Jr.,RB,NYG
