gsis_id,name,position,team,owner_name,is_starter,is_taxi,is_ir,sleeper_id,roster_fetched_at,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts
00-0036442,Joe Burrow,QB,CIN,MrMasculinity,1,0,0,6770,2026-09-23T23:56:48Z,29.8,6,,ACT,1.0,2020,2.0,2.6875,0.0,2.6875,0.969375,15.579374999999999,-4.0,-0.0,current,75% current / 25% prior,17.16,2026,3,sleeper,2026-09-23T23:56:49Z,35.89,260.62,1.97,1.04,3.09,9.59,0.07,,,,,18.5,18.5,18.5,3.09,0.128,,17.6,0.5,2.9,0.0,2.9,PIT,42.5,0,31.0,0.895,15.6,50% projection,1,1,0.87,High,,"2.9 exp opps (proj 3, recent 3) · QB1 · vs PIT (DvP 31, -10%) · High confidence",1.0,3.333,9.0,2.2,0.969,23.9,17.7
00-0030565,Geno Smith,QB,NYJ,MrMasculinity,0,0,0,1373,2026-09-23T23:56:48Z,36.0,13,,ACT,39.0,2013,2.0,4.808333333333334,0.0,4.808333333333334,0.9911666666666666,12.228333333333335,-1.0,-0.0,current,75% current / 25% prior,10.673333333333334,2026,3,sleeper,2026-09-23T23:56:49Z,31.93,224.12,1.35,0.62,3.18,13.56,0.1,,,,,15.51,15.51,15.51,3.18,0.13,,15.08,0.5,4.0,0.0,4.0,DET,47.5,0,1.0,1.12,14.4,50% projection,1,1,0.66,Med,,"4.0 exp opps (proj 3, recent 5) · QB1 · vs DET (DvP 1, +12%) · Med confidence",1.0,4.0,17.0,3.1,0.969,20.9,9.8
00-0039851,Drake Maye,QB,NE,MrMasculinity,1,0,0,11564,2026-09-23T23:56:48Z,24.1,2,,ACT,3.0,2024,2.0,5.654411764705882,0.014705882352941176,5.639705882352941,0.9894117647058824,11.865882352941176,-3.0,-0.0,current,75% current / 25% prior,11.193333333333333,2026,3,sleeper,2026-09-23T23:56:49Z,32.05,253.65,1.23,0.95,5.45,27.22,0.21,,,,,17.93,17.93,17.93,5.45,0.204,,17.15,0.5,5.6,0.0,5.5,JAX,45.5,0,22.0,0.962,13.6,50% projection,1,1,0.96,High,,"5.6 exp opps (proj 5, recent 6) · QB1 · vs JAX (DvP 22, -4%) · High confidence",1.0,8.0,19.0,6.1,0.962,26.5,19.2
00-0038120,Breece Hall,RB,NYJ,MrMasculinity,1,0,0,8155,2026-09-23T23:56:48Z,25.3,4,,ACT,36.0,2022,2.0,21.421875,3.375,18.046875,0.6221875,15.9946875,-3.0,0.07,current,75% current / 25% prior,18.3,2026,3,sleeper,2026-09-23T23:56:49Z,,,,,13.66,65.39,0.41,3.38,2.93,23.02,0.12,14.91,13.45,11.98,17.04,0.56,0.115,14.95,0.5,19.2,3.4,15.9,DET,47.5,0,12.0,1.038,17.3,50% projection,1,1,0.8,High,,"19.2 exp opps (proj 17, recent 21) · RB1 · 56% of team carries · vs DET (DvP 12, +4%) · High confidence",0.783,20.667,18.0,18.7,0.641,20.1,14.1
00-0040734,TreVeyon Henderson,RB,NE,MrMasculinity,1,0,0,12529,2026-09-23T23:56:48Z,23.9,1,,ACT,38.0,2025,1.0,15.264705882352942,0.6176470588235294,14.647058823529411,0.5647058823529412,13.232352941176469,0.0,0.0,current,75% current / 25% prior,13.033333333333333,2026,3,sleeper,2026-09-23T23:56:49Z,,,,,12.22,56.87,0.55,2.58,2.06,13.12,0.07,12.76,11.73,10.7,14.8,0.457,0.086,12.78,0.75,14.9,2.1,12.8,JAX,45.5,0,22.0,0.962,12.4,75% projection,2,2,0.78,High,,"14.9 exp opps (proj 15, recent 15) · RB2 · 46% of team carries · vs JAX (DvP 22, -4%) · High confidence",0.823,20.333,11.0,16.7,0.598,28.6,11.1
00-0033293,Aaron Jones,RB,MIN,MrMasculinity,1,0,0,4199,2026-09-23T23:56:48Z,31.8,9,,ACT,182.0,2017,2.0,17.104166666666668,1.2291666666666665,15.875,0.6139583333333334,10.160416666666666,10.0,0.35,current,75% current / 25% prior,11.933333333333332,2026,3,sleeper,2026-09-23T23:56:49Z,,,,,16.07,60.16,0.42,2.62,2.22,14.88,0.12,12.9,11.79,10.68,18.69,0.581,0.09,12.96,0.5,17.9,1.9,16.0,TB,42.5,0,17.0,1.0,12.4,50% projection,1,1,0.92,High,,"17.9 exp opps (proj 19, recent 17) · RB1 · 58% of team carries · vs TB (DvP 17, +0%) · High confidence",0.68,20.333,13.0,15.3,0.578,15.6,10.2
00-0040784,Quinshon Judkins,RB,CLE,MrMasculinity,1,0,0,12512,2026-09-23T23:56:48Z,22.9,1,,ACT,36.0,2025,2.0,16.375,3.267857142857143,13.107142857142858,0.62125,9.332142857142859,3.0,0.02,current,75% current / 25% prior,8.966666666666667,2026,3,sleeper,2026-09-23T23:56:49Z,,,,,16.11,60.09,0.52,2.25,1.96,11.35,0.07,12.55,11.57,10.59,18.36,0.594,0.083,12.64,0.5,17.4,2.8,14.6,CAR,42.5,1,1.0,1.12,12.1,50% projection,1,1,0.89,High,,"17.4 exp opps (proj 18, recent 16) · RB1 · 59% of team carries · vs CAR (DvP 1, +12%) · High confidence",0.577,23.333,13.0,19.8,0.569,19.1,10.1
00-0035261,Tony Pollard,RB,TEN,MrMasculinity,0,0,0,5967,2026-09-23T23:56:48Z,29.4,7,Questionable,ACT,128.0,2019,2.0,13.161764705882353,1.7279411764705883,11.433823529411764,0.5574264705882352,7.194852941176471,6.0,0.03,current,75% current / 25% prior,7.133333333333333,2026,3,sleeper,2026-09-23T23:56:49Z,,,,,11.64,63.01,0.38,2.03,1.66,10.23,0.04,11.43,10.6,9.77,13.67,0.485,0.067,11.5,0.5,13.4,1.9,11.5,NYG,39.5,0,7.0,1.075,10.0,50% projection,1,1,0.67,Med,QUESTIONABLE,"13.4 exp opps (proj 14, recent 13) · RB1 · 48% of team carries · vs NYG (DvP 7, +7%) · Med confidence · QUESTIONABLE",0.897,20.667,19.0,16.2,0.615,15.5,9.2
00-0036919,Kenny Gainwell,RB,TB,MrMasculinity,0,0,0,7567,2026-09-23T23:56:48Z,27.5,5,,ACT,150.0,2021,2.0,7.4264705882352935,3.125,4.301470588235294,0.4278676470588235,5.991911764705883,-0.0,-0.11,current,75% current / 25% prior,9.566666666666666,2026,3,sleeper,2026-09-23T23:56:49Z,,,,,7.07,27.16,0.22,2.45,1.95,13.56,0.07,7.69,6.71,5.73,9.52,0.249,0.08,7.76,0.5,8.5,2.8,5.7,MIN,42.5,1,30.0,0.902,7.8,50% projection,2,2,0.62,Med,,"8.5 exp opps (proj 10, recent 7) · RB2 · 25% of team carries · vs MIN (DvP 30, -10%) · Med confidence",0.63,15.667,13.0,12.9,0.551,24.9,7.4
00-0039391,Kimani Vidal,RB,LAC,MrMasculinity,0,0,0,11647,2026-09-23T23:56:48Z,25.1,2,,ACT,181.0,2024,1.0,3.4038461538461537,0.4230769230769231,2.980769230769231,0.21115384615384616,2.2673076923076922,0.0,0.0,current,75% current / 25% prior,1.0333333333333334,2026,3,sleeper,2026-09-23T23:56:49Z,,,,,0.8,3.53,0.02,0.26,0.19,1.45,0.01,0.89,0.79,0.7,1.06,0.031,0.009,0.87,0.75,1.6,0.3,1.3,BUF,50.5,0,4.0,1.098,1.0,75% projection,3,3,0.19,Low,,"1.6 exp opps (proj 1, recent 3) · RB3 · 3% of team carries · vs BUF (DvP 4, +10%) · Low confidence",0.797,21.333,9.0,18.1,0.701,20.4,4.5
