gsis_id,name,position,team,sleeper_id,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts,trending_add
00-0039150,Bryce Young,QB,CAR,9228,25.2,3,,ACT,1.0,2023,2.0,1.96875,0.0,1.96875,0.931875,24.226875,-1.0,0.04,current,75% current / 25% prior,24.02,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.28,197.08,1.41,0.64,4.56,22.59,0.23,,,,,16.37,16.37,16.37,4.56,0.17,,15.88,0.5,3.3,0.0,3.3,CLE,42.5,0,12.0,1.038,20.7,50% projection,1.0,1.0,0.43,Med,,"3.3 exp opps (proj 5, recent 2) · QB1 · vs CLE (DvP 12, +4%) · Med confidence",1.0,6.667,18.0,3.2,0.962,26.3,13.7,1
00-0039163,C.J. Stroud,QB,HOU,9758,25.0,3,,ACT,2.0,2023,2.0,2.732142857142857,0.0,2.732142857142857,0.9780357142857143,16.278928571428573,1.0,-0.0,current,75% current / 25% prior,16.913333333333334,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.79,241.02,1.16,0.46,3.04,11.55,0.15,,,,,15.65,15.65,15.65,3.04,0.108,,15.42,0.5,2.9,0.0,2.9,IND,42.5,0,4.0,1.098,17.8,50% projection,1.0,1.0,0.9,High,,"2.9 exp opps (proj 3, recent 3) · QB1 · vs IND (DvP 4, +10%) · High confidence",1.0,4.667,15.0,3.4,0.963,22.6,14.4,1
00-0038128,Malik Willis,QB,MIA,8161,27.3,4,,ACT,86.0,2022,2.0,4.375,0.0,4.375,0.855625,14.14125,-4.0,-0.0,current,75% current / 25% prior,20.233333333333334,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,28.21,212.04,0.95,0.41,5.32,24.5,0.3,,,,,15.99,15.99,15.99,5.32,0.209,,15.71,0.5,4.8,0.0,4.8,KC,46.5,1,30.0,0.902,16.2,50% projection,1.0,1.0,0.82,High,,"4.8 exp opps (proj 5, recent 4) · QB1 · vs KC (DvP 30, -10%) · High confidence",0.943,8.333,4.0,6.8,0.867,24.1,12.9,0
00-0035704,Drew Lock,QB,SEA,5854,29.9,7,,ACT,42.0,2019,2.0,1.25,0.0,1.25,0.7583333333333333,12.825833333333332,-2.0,0.1,current,75% current / 25% prior,11.393333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,30.36,222.3,1.55,0.66,3.46,16.64,0.14,,,,,16.66,16.66,16.66,3.46,0.12,,16.28,0.5,2.4,0.0,2.4,WAS,40.5,0,2.0,1.112,15.4,50% projection,2.0,2.0,0.29,Low,,"2.4 exp opps (proj 3, recent 1) · QB2 · vs WAS (DvP 2, +11%) · Low confidence",0.677,2.333,2.0,1.0,0.95,18.0,0.5,1
00-0033537,Deshaun Watson,QB,CLE,4017,31.0,9,,ACT,12.0,2017,2.0,6.5,0.0,6.5,1.0,16.86,1.0,-0.0,current,75% current / 25% prior,16.86,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,27.91,204.8,1.04,1.1,3.14,14.57,0.14,,,,,13.34,13.34,13.34,3.14,0.116,,12.45,0.5,4.8,0.0,4.8,CAR,42.5,1,15.0,1.015,14.9,50% projection,1.0,1.0,0.48,Med,,"4.8 exp opps (proj 3, recent 6) · QB1 · vs CAR (DvP 15, +1%) · Med confidence",1.0,6.5,2.0,6.5,1.0,19.1,16.9,1
00-0036264,Jordan Love,QB,GB,6804,27.9,6,,ACT,26.0,2020,2.0,1.1583333333333332,0.0,1.1583333333333332,0.9856666666666667,16.399,-1.0,-0.0,current,75% current / 25% prior,12.353333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,32.32,232.01,1.64,1.14,3.3,15.0,0.09,,,,,16.5,16.5,16.5,3.3,0.122,,15.6,0.5,2.2,0.0,2.2,ATL,42.5,1,11.0,1.045,14.6,50% projection,1.0,1.0,0.35,Low,,"2.2 exp opps (proj 3, recent 1) · QB1 · vs ATL (DvP 11, +4%) · Low confidence",1.0,4.667,16.0,2.9,0.986,26.0,15.0,0
00-0030565,Geno Smith,QB,NYJ,1373,36.0,13,,ACT,39.0,2013,2.0,4.808333333333334,0.0,4.808333333333334,0.9911666666666666,12.228333333333335,-1.0,-0.0,current,75% current / 25% prior,10.673333333333334,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.93,224.12,1.35,0.62,3.18,13.56,0.1,,,,,15.51,15.51,15.51,3.18,0.13,,15.08,0.5,4.0,0.0,4.0,DET,47.5,0,1.0,1.12,14.4,50% projection,1.0,1.0,0.66,Med,,"4.0 exp opps (proj 3, recent 5) · QB1 · vs DET (DvP 1, +12%) · Med confidence",1.0,4.0,17.0,3.1,0.969,20.9,9.8,0
00-0040676,Cam Ward,QB,TEN,12522,24.3,1,,ACT,1.0,2025,2.0,3.5735294117647056,0.0,3.5735294117647056,0.9866176470588235,14.64,-0.0,-0.0,current,75% current / 25% prior,13.633333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.9,200.25,0.85,0.42,3.0,13.08,0.18,,,,,13.23,13.23,13.23,3.0,0.123,,12.96,0.5,3.3,0.0,3.3,NYG,38.5,0,8.0,1.068,14.2,50% projection,1.0,1.0,0.84,High,,"3.3 exp opps (proj 3, recent 4) · QB1 · vs NYG (DvP 8, +7%) · High confidence",1.0,3.667,18.0,2.5,1.0,18.4,11.1,0
00-0029604,Kirk Cousins,QB,LV,1166,38.1,14,,ACT,102.0,2012,2.0,3.725,0.0,3.725,0.9652499999999999,15.345999999999998,-1.0,-0.0,current,75% current / 25% prior,14.406666666666666,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,31.55,212.37,1.55,0.56,1.81,3.56,0.06,,,,,14.73,14.73,14.73,1.81,0.075,,14.29,0.5,2.8,0.0,2.8,NO,43.5,0,20.0,0.978,14.0,50% projection,1.0,1.0,0.49,Med,,"2.8 exp opps (proj 2, recent 4) · QB1 · vs NO (DvP 20, -2%) · Med confidence",1.0,4.0,10.0,2.2,1.0,20.0,11.3,1
00-0034855,Baker Mayfield,QB,TB,4892,31.4,8,,ACT,1.0,2018,2.0,4.1838235294117645,0.0,4.1838235294117645,0.9927941176470588,12.931323529411767,-1.0,-0.0,current,75% current / 25% prior,12.346666666666666,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,32.2,225.77,1.49,0.74,3.61,16.13,0.13,,,,,16.48,16.48,16.48,3.61,0.129,,15.9,0.5,3.9,0.0,3.9,MIN,42.5,1,25.0,0.94,13.3,50% projection,1.0,1.0,0.86,High,,"3.9 exp opps (proj 4, recent 4) · QB1 · vs MIN (DvP 25, -6%) · High confidence",1.0,5.333,19.0,3.4,0.974,22.6,16.8,0
