gsis_id,name,position,team,owner_name,is_starter,is_taxi,is_ir,sleeper_id,roster_fetched_at,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts
00-0039851,Drake Maye,QB,NE,Nativity scene,1,0,0,11564,2026-09-22T22:24:27Z,24.1,2,,ACT,3.0,2024,2.0,5.654411764705882,0.014705882352941176,5.639705882352941,0.9894117647058824,11.865882352941176,-3.0,-0.0,current,75% current / 25% prior,11.193333333333333,2026,3,sleeper,2026-09-22T22:24:23Z,32.04,253.6,1.04,0.95,5.45,27.22,0.18,,,,,17.01,17.01,17.01,5.45,0.204,,16.21,0.5,5.6,0.0,5.5,JAX,45.5,0,22.0,0.962,13.2,50% projection,1,1,0.96,High,,"5.6 exp opps (proj 5, recent 6) · QB1 · vs JAX (DvP 22, -4%) · High confidence",1.0,8.0,19,6.1,0.962,26.5,19.2
00-0038120,Breece Hall,RB,NYJ,Nativity scene,1,0,0,8155,2026-09-22T22:24:27Z,25.3,4,,ACT,36.0,2022,2.0,21.421875,3.375,18.046875,0.6221875,15.9946875,-3.0,0.07,current,75% current / 25% prior,18.3,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,13.63,65.24,0.36,3.39,2.93,23.07,0.1,14.45,12.99,11.52,17.02,0.562,0.114,14.52,0.5,19.2,3.4,15.8,DET,47.5,0,12.0,1.038,17.0,50% projection,1,1,0.79,High,,"19.2 exp opps (proj 17, recent 21) · RB1 · 56% of team carries · vs DET (DvP 12, +4%) · High confidence",0.783,20.667,18,18.7,0.641,20.1,14.1
00-0036875,Rhamondre Stevenson,RB,NE,Nativity scene,1,0,0,7611,2026-09-22T22:24:27Z,28.6,5,,ACT,120.0,2021,2.0,14.982142857142858,3.6607142857142856,11.321428571428571,0.6021428571428571,9.980357142857144,-16.0,-0.49,current,75% current / 25% prior,17.8,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,7.7,37.02,0.24,2.95,2.57,19.24,0.1,10.22,8.94,7.65,10.65,0.288,0.098,10.24,0.5,12.8,3.3,9.5,JAX,45.5,0,22.0,0.962,13.5,50% projection,1,1,0.71,High,,"12.8 exp opps (proj 11, recent 15) · RB1 · 29% of team carries · vs JAX (DvP 22, -4%) · High confidence",0.737,16.667,13,13.5,0.653,24.2,10.8
00-0033293,Aaron Jones,RB,MIN,Nativity scene,1,0,0,4199,2026-09-22T22:24:27Z,31.8,9,Questionable,ACT,182.0,2017,2.0,17.104166666666668,1.2291666666666665,15.875,0.6139583333333334,10.160416666666666,10.0,0.35,current,75% current / 25% prior,11.933333333333332,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,16.11,60.31,0.36,2.62,2.21,14.84,0.1,12.44,11.34,10.23,18.73,0.581,0.09,12.49,0.5,17.9,1.9,16.0,TB,42.5,0,17.0,1.0,12.2,50% projection,1,1,0.64,Med,QUESTIONABLE,"17.9 exp opps (proj 19, recent 17) · RB1 · 58% of team carries · vs TB (DvP 17, +0%) · Med confidence · QUESTIONABLE",0.68,20.333,13,15.3,0.578,15.6,10.2
00-0040236,Kyle Monangai,RB,CHI,Nativity scene,0,0,0,12534,2026-09-22T22:24:27Z,24.3,1,,ACT,233.0,2025,2.0,11.926470588235293,1.9411764705882353,9.985294117647058,0.3909558823529412,12.732352941176469,-0.0,-0.09,current,75% current / 25% prior,11.366666666666665,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,8.7,38.21,0.13,1.57,1.09,8.28,0.03,6.66,6.12,5.58,10.27,0.305,0.053,6.7,0.5,11.1,1.8,9.3,PHI,41.5,1,19.0,0.985,8.9,50% projection,2,2,0.69,Med,,"11.1 exp opps (proj 10, recent 12) · RB2 · 30% of team carries · vs PHI (DvP 19, -2%) · Med confidence",0.55,18.0,12,14.3,0.466,19.3,7.8
00-0036139,Rico Dowdle,RB,PIT,Nativity scene,0,0,0,7021,2026-09-22T22:24:27Z,28.3,6,Questionable,ACT,,2020,2.0,12.455882352941178,3.360294117647059,9.095588235294118,0.4551470588235294,7.118382352941177,-4.0,-0.32,current,75% current / 25% prior,4.5,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,12.14,57.82,0.26,2.99,2.32,17.13,0.08,11.8,10.64,9.48,15.13,0.471,0.094,11.86,0.5,13.8,3.2,10.6,CIN,42.5,1,16.0,1.008,8.2,50% projection,2,2,0.46,Med,QUESTIONABLE,"13.8 exp opps (proj 15, recent 12) · RB2 · 47% of team carries · vs CIN (DvP 16, +1%) · Med confidence · QUESTIONABLE",0.777,27.0,14,19.1,0.624,29.0,9.9
00-0041052,Kaelon Black,RB,SF,Nativity scene,0,0,0,13414,2026-09-22T22:24:27Z,24.9,0,,ACT,90.0,2026,2.0,11.0,0.5,10.5,0.38,5.25,-8.0,-0.1,current,75% current / 25% prior,5.25,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,6.36,29.52,0.11,0.95,0.85,6.09,0.04,5.29,4.87,4.44,7.3100000000000005,0.22,0.033,5.31,0.5,9.2,0.7,8.4,ARI,47.5,1,28.0,0.918,4.8,50% projection,2,2,0.53,Med,,"9.2 exp opps (proj 7, recent 11) · RB2 · 22% of team carries · vs ARI (DvP 28, -8%) · Med confidence",0.38,11.0,1,15.0,0.43,7.5,5.2
00-0039165,Zach Charbonnet,RB,SEA,Nativity scene,0,0,1,9753,2026-09-22T22:24:27Z,25.7,3,PUP,RES,52.0,2023,0.0,13.0,1.5,11.5,0.48375,11.3375,0.205882,-0.002206,prior,prior season only,20.766666666666666,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,WAS,40.5,0,32.0,0.888,,projection only,4,4,0.0,Low,PUP,"0.0 exp opps (proj 0, recent 13) · RB4 · vs WAS (DvP 32, -11%) · Low confidence · PUP",0.557,18.0,12,13.8,0.527,19.1,10.9
00-0039065,Sam LaPorta,TE,DET,Nativity scene,1,0,0,10859,2026-09-22T22:24:27Z,25.7,3,,ACT,34.0,2023,2.0,6.986111111111111,6.986111111111111,0.0,0.8979166666666667,13.094444444444445,-1.0,0.17,current,75% current / 25% prior,12.433333333333332,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.06,0.28,0.0,5.92,4.52,50.0,0.36,11.75,9.49,7.23,5.9799999999999995,0.002,0.186,11.71,0.5,6.5,6.5,0.0,NYJ,47.5,1,29.0,0.91,11.0,50% projection,1,1,0.86,High,,"6.5 exp opps (proj 6, recent 7) · TE1 · 19% of team targets · vs NYJ (DvP 29, -9%) · High confidence",0.977,7.0,11,5.8,0.905,20.2,10.3
00-0039491,Jalen Coker,WR,CAR,Nativity scene,0,0,0,11646,2026-09-22T22:24:27Z,24.9,2,,ACT,,2024,2.0,7.7272727272727275,7.7272727272727275,0.0,0.7734090909090909,20.204545454545453,-0.0,-0.08,current,75% current / 25% prior,21.7,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.08,0.37,0.0,6.94,5.0,62.13,0.44,13.94,11.43,8.93,7.0200000000000005,0.003,0.237,13.89,0.5,7.4,7.3,0.0,CLE,42.5,0,10.0,1.052,18.7,50% projection,2,2,0.73,High,,"7.4 exp opps (proj 7, recent 8) · WR2 · 24% of team targets · vs CLE (DvP 10, +5%) · High confidence",0.84,8.333,12,4.9,0.738,17.3,7.7
