gsis_id,name,position,team,owner_name,is_starter,is_taxi,is_ir,sleeper_id,roster_fetched_at,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts
00-0034857,Josh Allen,QB,BUF,mastuhbruce,1,0,0,4984,2026-09-22T22:24:22Z,30.3,8,,ACT,7.0,2018,2.0,9.25,0.0,9.25,0.9946875,34.3771875,8.0,-0.0,current,75% current / 25% prior,33.88666666666666,2026,3,sleeper,2026-09-22T22:24:23Z,32.08,258.59,1.36,1.13,7.85,36.3,0.71,,,,,22.43,22.43,22.43,7.85,0.269,,22.54,0.5,8.6,0.0,8.6,LAC,50.5,1,16.0,1.008,28.4,50% projection,1.0,1.0,0.85,High,,"8.6 exp opps (proj 8, recent 9) · QB1 · vs LAC (DvP 16, +1%) · High confidence",1.0,9.333,18.0,7.3,0.981,40.8,23.2
00-0034796,Lamar Jackson,QB,BAL,njmoses,1,0,0,4881,2026-09-22T22:24:22Z,29.7,8,,ACT,32.0,2018,2.0,5.413461538461538,0.0,5.413461538461538,0.980576923076923,19.04192307692308,-3.0,-0.0,current,75% current / 25% prior,21.393333333333334,2026,3,sleeper,2026-09-22T22:24:23Z,30.04,271.97,1.47,0.46,8.37,51.18,0.29,,,,,23.05,23.05,23.05,8.37,0.296,,23.16,0.5,6.9,0.0,6.9,DAL,52.5,0,3.0,1.105,24.6,50% projection,1.0,1.0,0.65,Med,,"6.9 exp opps (proj 8, recent 5) · QB1 · vs DAL (DvP 3, +10%) · Med confidence",1.0,6.667,15.0,5.2,0.933,27.0,16.6
00-0033873,Patrick Mahomes,QB,KC,Taylor894,0,0,0,4046,2026-09-22T22:24:22Z,31.0,9,,ACT,10.0,2017,2.0,4.535714285714286,0.017857142857142856,4.517857142857142,0.9935714285714285,24.091428571428573,-5.0,-0.0,current,75% current / 25% prior,22.566666666666666,2026,3,sleeper,2026-09-22T22:24:23Z,32.28,259.62,1.88,0.52,4.13,23.87,0.25,,,,,21.05,21.05,21.05,4.13,0.153,,21.27,0.5,4.3,0.0,4.3,MIA,46.5,0,7.0,1.075,23.6,50% projection,1.0,1.0,0.91,High,,"4.3 exp opps (proj 4, recent 5) · QB1 · vs MIA (DvP 7, +7%) · High confidence",1.0,6.667,16.0,4.6,0.978,30.4,24.0
00-0039150,Bryce Young,QB,CAR,NegativeSquash,0,0,0,9228,2026-09-22T22:24:22Z,25.2,3,,ACT,1.0,2023,2.0,1.96875,0.0,1.96875,0.931875,24.226875,-1.0,0.04,current,75% current / 25% prior,25.353333333333335,2026,3,sleeper,2026-09-22T22:24:23Z,30.99,195.24,1.21,0.64,4.75,23.55,0.21,,,,,15.46,15.46,15.46,4.75,0.177,,15.62,0.5,3.4,0.0,3.4,CLE,42.5,0,12.0,1.038,21.3,50% projection,1.0,1.0,0.41,Med,,"3.4 exp opps (proj 5, recent 2) · QB1 · vs CLE (DvP 12, +4%) · Med confidence",1.0,6.667,18.0,3.2,0.962,27.4,14.2
00-0037834,Brock Purdy,QB,SF,NegativeSquash,1,0,0,8183,2026-09-22T22:24:22Z,26.7,4,,ACT,262.0,2022,2.0,3.9166666666666665,0.0,3.9166666666666665,0.9381944444444446,23.519722222222224,-2.0,-0.15,current,75% current / 25% prior,18.92,2026,3,sleeper,2026-09-22T22:24:23Z,30.52,253.98,2.02,0.68,4.28,20.12,0.22,,,,,20.77,20.77,20.77,4.28,0.148,,20.89,0.5,4.1,0.0,4.1,ARI,47.5,1,14.0,1.022,20.3,50% projection,1.0,1.0,0.92,High,,"4.1 exp opps (proj 4, recent 4) · QB1 · vs ARI (DvP 14, +2%) · High confidence",1.0,5.0,11.0,3.7,0.968,31.9,21.7
00-0040743,Tyler Shough,QB,NO,ohsobenji,1,0,0,12545,2026-09-22T22:24:22Z,27.0,1,,ACT,40.0,2025,2.0,5.8977272727272725,0.0,5.8977272727272725,0.9586363636363636,20.6825,5.0,-0.0,current,75% current / 25% prior,25.44666666666667,2026,3,sleeper,2026-09-22T22:24:23Z,33.66,242.2,1.37,0.52,5.05,17.41,0.21,,,,,17.42,17.42,17.42,5.05,0.188,,17.65,0.5,5.5,0.0,5.5,LV,43.5,1,26.0,0.932,20.1,50% projection,1.0,1.0,0.86,High,,"5.5 exp opps (proj 5, recent 6) · QB1 · vs LV (DvP 26, -7%) · High confidence",1.0,7.0,12.0,4.8,0.928,23.7,19.0
00-0033106,Jared Goff,QB,DET,Taylor894,0,0,0,3163,2026-09-22T22:24:22Z,31.9,10,,ACT,1.0,2016,2.0,2.1544117647058822,0.0,2.1544117647058822,0.9963235294117647,21.701029411764704,1.0,-0.0,current,75% current / 25% prior,22.153333333333336,2026,3,sleeper,2026-09-22T22:24:23Z,33.63,253.61,1.89,0.1,1.77,4.63,0.04,,,,,18.13,18.13,18.13,1.77,0.067,,18.31,0.5,2.0,0.0,2.0,NYJ,47.5,1,21.0,0.97,19.6,50% projection,1.0,1.0,0.82,High,,"2.0 exp opps (proj 2, recent 2) · QB1 · vs NYJ (DvP 21, -3%) · High confidence",1.0,2.0,19.0,1.3,0.987,29.1,18.2
00-0036389,Jalen Hurts,QB,PHI,NegativeSquash,1,0,0,6904,2026-09-22T22:24:22Z,28.1,6,,ACT,53.0,2020,2.0,6.140625,0.0,6.140625,0.9940625000000001,20.034062499999997,-2.0,-0.0,current,75% current / 25% prior,17.26,2026,3,sleeper,2026-09-22T22:24:23Z,28.85,215.86,1.19,0.94,7.18,34.53,0.35,,,,,17.87,17.87,17.87,7.18,0.245,,18.01,0.5,6.7,0.0,6.7,CHI,41.5,0,9.0,1.06,18.7,50% projection,1.0,1.0,0.86,High,,"6.7 exp opps (proj 7, recent 6) · QB1 · vs CHI (DvP 9, +6%) · High confidence",1.0,10.667,18.0,6.5,0.979,26.9,19.4
00-0039163,C.J. Stroud,QB,HOU,njmoses,1,0,0,9758,2026-09-22T22:24:22Z,25.0,3,,ACT,2.0,2023,2.0,2.732142857142857,0.0,2.732142857142857,0.9780357142857143,16.278928571428573,1.0,-0.0,current,75% current / 25% prior,17.580000000000002,2026,3,sleeper,2026-09-22T22:24:23Z,32.65,247.58,1.05,0.47,2.95,11.2,0.13,,,,,15.32,15.32,15.32,2.95,0.108,,15.53,0.5,2.8,0.0,2.8,IND,43.5,0,4.0,1.098,18.2,50% projection,1.0,1.0,0.93,High,,"2.8 exp opps (proj 3, recent 3) · QB1 · vs IND (DvP 4, +10%) · High confidence",1.0,4.667,15.0,3.4,0.963,24.1,15.4
00-0026498,Matthew Stafford,QB,LA,MrMasculinity,1,0,0,421,2026-09-22T22:24:22Z,38.6,17,,ACT,1.0,2009,2.0,2.676470588235294,0.0,2.676470588235294,0.9363235294117647,16.807647058823527,2.0,0.16,current,75% current / 25% prior,20.580000000000002,2026,3,sleeper,2026-09-22T22:24:23Z,33.65,247.36,1.45,0.59,1.58,3.39,0.03,,,,,15.5,15.5,15.5,1.58,0.057,,15.62,0.5,2.1,0.0,2.1,DEN,45.5,0,24.0,0.948,17.2,50% projection,1.0,1.0,0.59,Med,,"2.1 exp opps (proj 2, recent 3) · QB1 · vs DEN (DvP 24, -5%) · Med confidence",1.0,3.333,19.0,1.8,0.978,29.5,23.2
