gsis_id,name,position,team,owner_name,is_starter,is_taxi,is_ir,sleeper_id,roster_fetched_at,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts
00-0026498,Matthew Stafford,QB,LA,MrMasculinity,1,0,0,421,2026-09-22T22:24:22Z,38.6,17,,ACT,1.0,2009,2.0,2.676470588235294,0.0,2.676470588235294,0.9363235294117647,16.807647058823527,2.0,0.16,current,75% current / 25% prior,20.580000000000002,2026,3,sleeper,2026-09-22T22:24:23Z,33.65,247.36,1.45,0.59,1.58,3.39,0.03,,,,,15.5,15.5,15.5,1.58,0.057,,15.62,0.5,2.1,0.0,2.1,DEN,45.5,0,24.0,0.948,17.2,50% projection,1,1,0.59,Med,,"2.1 exp opps (proj 2, recent 3) · QB1 · vs DEN (DvP 24, -5%) · Med confidence",1.0,3.333,19.0,1.8,0.978,29.5,23.2
00-0039732,Bo Nix,QB,DEN,MrMasculinity,1,0,0,11563,2026-09-22T22:24:22Z,26.6,2,,ACT,12.0,2024,2.0,4.235294117647059,0.014705882352941176,4.220588235294118,0.9991176470588236,11.817941176470587,2.0,-0.0,current,75% current / 25% prior,10.699999999999998,2026,3,sleeper,2026-09-22T22:24:23Z,34.28,232.34,1.24,0.89,4.48,20.06,0.16,,,,,16.14,16.14,16.14,4.48,0.17,,16.33,0.5,4.4,0.0,4.4,LA,45.5,1,27.0,0.925,12.5,50% projection,1,1,0.95,High,,"4.4 exp opps (proj 4, recent 4) · QB1 · vs LA (DvP 27, -7%) · High confidence",1.0,7.0,19.0,4.8,0.997,29.2,17.9
00-0041561,Carson Beck,QB,ARI,MrMasculinity,0,1,0,13272,2026-09-22T22:24:22Z,24.8,0,Out,ACT,65.0,2026,,,,,,,,,,,,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,SF,47.5,0,28.0,0.918,,projection only,3,3,0.0,Low,OUT,"0.0 exp opps (proj 0) · QB3 · vs SF (DvP 28, -8%) · Low confidence · OUT",,,,,,,
00-0038120,Breece Hall,RB,NYJ,MrMasculinity,1,0,0,8155,2026-09-22T22:24:22Z,25.3,4,,ACT,36.0,2022,2.0,21.421875,3.375,18.046875,0.6221875,15.9946875,-3.0,0.07,current,75% current / 25% prior,19.633333333333333,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,13.63,65.24,0.36,3.39,2.93,23.07,0.1,14.45,12.99,11.52,17.02,0.562,0.114,14.52,0.5,19.2,3.4,15.8,DET,47.5,0,12.0,1.038,17.7,50% projection,1,1,0.79,High,,"19.2 exp opps (proj 17, recent 21) · RB1 · 56% of team carries · vs DET (DvP 12, +4%) · High confidence",0.783,20.667,18.0,18.7,0.641,22.1,14.1
00-0036275,D'Andre Swift,RB,CHI,MrMasculinity,1,0,0,6790,2026-09-22T22:24:22Z,27.7,6,,ACT,35.0,2020,2.0,19.234375,3.0,16.234375,0.6134375,20.559374999999996,2.0,0.11,current,75% current / 25% prior,17.7,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,13.31,56.41,0.5,2.67,2.11,13.39,0.04,12.3,11.25,10.19,15.98,0.467,0.089,12.33,0.5,17.6,2.8,14.8,PHI,41.5,1,19.0,0.985,14.8,50% projection,1,1,0.83,High,,"17.6 exp opps (proj 16, recent 19) · RB1 · 47% of team carries · vs PHI (DvP 19, -2%) · High confidence",0.663,19.0,18.0,17.3,0.584,24.2,14.4
00-0040734,TreVeyon Henderson,RB,NE,MrMasculinity,0,0,0,12529,2026-09-22T22:24:22Z,23.9,1,,ACT,38.0,2025,1.0,15.264705882352942,0.6176470588235294,14.647058823529411,0.5647058823529412,13.232352941176469,0.0,0.0,current,75% current / 25% prior,13.033333333333333,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,12.22,56.88,0.47,2.57,2.06,13.12,0.06,12.21,11.17,10.14,14.790000000000001,0.457,0.085,12.24,0.75,14.9,2.1,12.8,JAX,45.5,0,22.0,0.962,12.0,75% projection,2,2,0.78,High,,"14.9 exp opps (proj 15, recent 15) · RB2 · 46% of team carries · vs JAX (DvP 22, -4%) · High confidence",0.823,20.333,11.0,16.7,0.598,30.6,11.1
00-0040784,Quinshon Judkins,RB,CLE,MrMasculinity,1,0,0,12512,2026-09-22T22:24:22Z,22.9,1,,ACT,36.0,2025,2.0,16.375,3.267857142857143,13.107142857142858,0.62125,9.332142857142859,3.0,0.02,current,75% current / 25% prior,8.966666666666667,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,16.08,59.97,0.43,2.25,1.96,11.35,0.05,11.91,10.93,9.95,18.33,0.594,0.084,11.97,0.5,17.4,2.8,14.6,CAR,42.5,1,1.0,1.12,11.7,50% projection,1,1,0.89,High,,"17.4 exp opps (proj 18, recent 16) · RB1 · 59% of team carries · vs CAR (DvP 1, +12%) · High confidence",0.577,23.333,13.0,19.8,0.569,19.1,10.1
00-0040719,Bhayshul Tuten,RB,JAX,MrMasculinity,1,0,0,12490,2026-09-22T22:24:22Z,24.6,1,,ACT,104.0,2025,2.0,13.241666666666667,1.3583333333333334,11.883333333333333,0.42783333333333334,10.476666666666667,-1.0,0.02,current,75% current / 25% prior,10.766666666666666,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,13.05,50.89,0.38,2.16,1.62,11.94,0.11,10.82,10.01,9.2,15.21,0.473,0.069,10.84,0.5,14.2,1.8,12.5,NE,45.5,1,25.0,0.94,10.2,50% projection,1,1,0.87,High,,"14.2 exp opps (proj 15, recent 13) · RB1 · 47% of team carries · vs NE (DvP 25, -6%) · High confidence",0.42,12.0,2.0,15.5,0.5,13.7,8.1
00-0035261,Tony Pollard,RB,TEN,MrMasculinity,0,0,0,5967,2026-09-22T22:24:22Z,29.4,7,,ACT,128.0,2019,2.0,13.161764705882353,1.7279411764705883,11.433823529411764,0.5574264705882352,7.194852941176471,6.0,0.03,current,75% current / 25% prior,7.133333333333333,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,11.56,62.48,0.3,2.04,1.66,10.23,0.03,10.9,10.06,9.23,13.600000000000001,0.484,0.067,10.91,0.5,13.4,1.9,11.5,NYG,39.5,0,7.0,1.075,9.7,50% projection,1,1,0.97,High,,"13.4 exp opps (proj 14, recent 13) · RB1 · 48% of team carries · vs NYG (DvP 7, +7%) · High confidence",0.897,20.667,19.0,16.2,0.615,15.9,9.2
00-0033906,Alvin Kamara,RB,NO,MrMasculinity,0,0,0,4035,2026-09-22T22:24:22Z,31.2,9,,ACT,67.0,2017,1.0,15.113636363636363,5.386363636363637,9.727272727272727,0.3768181818181818,7.688636363636364,0.0,0.0,current,75% current / 25% prior,8.4,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,7.68,27.37,0.23,2.36,2.08,11.48,0.07,7.7,6.66,5.62,10.04,0.286,0.074,7.76,0.75,11.3,3.1,8.2,LV,43.5,1,21.0,0.97,7.7,75% projection,2,2,0.53,Med,,"11.3 exp opps (proj 10, recent 15) · RB2 · 29% of team carries · vs LV (DvP 21, -3%) · Med confidence",0.797,22.333,10.0,16.5,0.687,14.4,8.3
00-0040878,Mike Washington Jr.,RB,LV,MrMasculinity,0,0,0,13305,2026-09-22T22:24:22Z,23.2,0,,ACT,122.0,2026,2.0,5.5,0.5,5.0,0.19,2.4,-3.0,-0.0,current,75% current / 25% prior,2.4,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,3.39,13.13,0.06,0.99,0.64,5.09,0.04,3.08,2.75,2.43,4.38,0.144,0.033,3.06,0.5,4.9,0.7,4.2,NO,43.5,0,6.0,1.082,3.0,50% projection,2,2,0.64,Med,,"4.9 exp opps (proj 4, recent 6) · RB2 · 14% of team carries · vs NO (DvP 6, +8%) · Med confidence",0.19,5.5,0.0,,,3.8,2.4
00-0039165,Zach Charbonnet,RB,SEA,MrMasculinity,0,0,0,9753,2026-09-22T22:24:22Z,25.7,3,PUP,RES,52.0,2023,0.0,13.0,1.5,11.5,0.48375,11.3375,0.205882,-0.002206,prior,prior season only,21.433333333333334,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,WAS,40.5,0,32.0,0.888,,projection only,4,4,0.0,Low,PUP,"0.0 exp opps (proj 0, recent 13) · RB4 · vs WAS (DvP 32, -11%) · Low confidence · PUP",0.557,18.0,12.0,13.8,0.527,19.1,10.9
00-0038933,Dalton Kincaid,TE,BUF,MrMasculinity,1,0,0,10236,2026-09-22T22:24:22Z,26.9,3,,ACT,25.0,2023,2.0,6.270833333333333,6.270833333333333,0.0,0.6110416666666666,17.814583333333335,2.0,-0.06,current,75% current / 25% prior,19.266666666666666,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,6.54,4.75,62.69,0.29,12.75,10.37,8.0,6.54,,0.212,15.13,0.5,6.4,6.4,0.0,LAC,50.5,1,10.0,1.052,18.1,50% projection,1,1,0.96,High,,"6.4 exp opps (proj 7, recent 6) · TE1 · 21% of team targets · vs LAC (DvP 10, +5%) · High confidence",0.513,5.667,6.0,6.0,0.577,25.0,13.2
00-0040663,Harold Fannin Jr.,TE,CLE,MrMasculinity,1,0,0,12506,2026-09-22T22:24:22Z,22.2,1,,ACT,67.0,2025,2.0,5.15625,5.046875,0.109375,0.81984375,8.35,3.0,0.04,current,75% current / 25% prior,10.0,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.22,0.84,0.01,5.02,3.62,35.37,0.24,8.74,6.93,5.12,5.239999999999999,0.008,0.187,10.55,0.5,5.2,5.0,0.2,CAR,42.5,1,25.0,0.94,9.7,50% projection,1,1,0.98,High,,"5.2 exp opps (proj 5, recent 5) · TE1 · 19% of team targets · vs CAR (DvP 25, -6%) · High confidence",0.927,11.0,17.0,7.1,0.8,21.4,12.6
00-0036970,Kyle Pitts,TE,ATL,MrMasculinity,0,0,0,7553,2026-09-22T22:24:22Z,26.0,5,,ACT,4.0,2021,2.0,3.235294117647059,3.235294117647059,0.0,0.59875,4.0375,2.0,-0.25,current,75% current / 25% prior,5.933333333333334,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,4.99,3.55,40.46,0.26,9.18,7.4,5.62,4.99,,0.181,10.93,0.5,4.1,4.1,0.0,GB,43.5,0,15.0,1.015,8.6,50% projection,1,1,0.65,Med,,"4.1 exp opps (proj 5, recent 3) · TE1 · 18% of team targets · vs GB (DvP 15, +1%) · Med confidence",0.93,10.333,18.0,6.6,0.866,20.8,9.9
00-0037239,Chris Olave,WR,NO,MrMasculinity,1,0,0,8144,2026-09-22T22:24:22Z,26.2,4,,ACT,11.0,2022,2.0,11.078125,11.0625,0.015625,0.84828125,23.237499999999997,-3.0,-0.02,current,75% current / 25% prior,26.900000000000002,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.05,0.19,0.0,8.92,5.77,80.37,0.61,17.5,14.61,11.73,8.97,0.002,0.28,17.49,0.5,10.0,10.0,0.0,LV,43.5,1,28.0,0.918,20.4,50% projection,1,1,0.81,High,,"10.0 exp opps (proj 9, recent 11) · WR1 · 28% of team targets · vs LV (DvP 28, -8%) · High confidence",0.9,13.333,18.0,10.0,0.844,28.6,15.8
00-0041037,Denzel Boston,WR,CLE,MrMasculinity,0,0,0,13346,2026-09-22T22:24:22Z,22.8,0,,ACT,39.0,2026,2.0,5.5,5.5,0.0,0.925,17.2,3.0,0.01,current,75% current / 25% prior,17.2,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.14,0.68,0.01,5.02,3.15,43.84,0.28,9.32,7.75,6.17,5.159999999999999,0.005,0.187,9.34,0.5,5.3,5.3,0.1,CAR,42.5,1,21.0,0.97,12.9,50% projection,1,1,0.94,High,,"5.3 exp opps (proj 5, recent 6) · WR1 · 19% of team targets · vs CAR (DvP 21, -3%) · High confidence",0.925,5.5,2.0,5.5,0.925,19.8,17.2
00-0037247,George Pickens,WR,DAL,MrMasculinity,1,0,0,8137,2026-09-22T22:24:22Z,25.6,4,,ACT,52.0,2022,2.0,7.264705882352941,7.264705882352941,0.0,0.802794117647059,10.21764705882353,2.0,-0.08,current,75% current / 25% prior,5.8999999999999995,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.05,0.21,0.0,7.73,5.09,78.55,0.29,14.74,12.19,9.64,7.78,0.002,0.221,14.71,0.5,7.5,7.5,0.0,BAL,52.5,1,15.0,1.015,10.5,50% projection,2,2,0.75,High,,"7.5 exp opps (proj 8, recent 7) · WR2 · 22% of team targets · vs BAL (DvP 15, +1%) · High confidence",0.877,11.0,19.0,7.9,0.81,32.0,13.9
00-0035640,DK Metcalf,WR,PIT,MrMasculinity,1,0,0,5846,2026-09-22T22:24:22Z,28.8,7,,ACT,64.0,2019,2.0,8.808333333333334,8.775,0.03333333333333333,0.9419166666666667,8.632499999999999,-1.0,0.01,current,75% current / 25% prior,7.633333333333333,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.15,0.77,0.01,6.7,3.51,54.65,0.27,10.69,8.93,7.18,6.8500000000000005,0.006,0.211,10.73,0.5,7.8,7.7,0.1,CIN,42.5,1,26.0,0.932,8.6,50% projection,1,1,0.78,High,,"7.8 exp opps (proj 7, recent 9) · WR1 · 21% of team targets · vs CIN (DvP 26, -7%) · High confidence",0.937,9.333,17.0,7.1,0.884,21.2,11.0
00-0041438,Carnell Tate,WR,TEN,MrMasculinity,0,0,0,13279,2026-09-22T22:24:22Z,21.7,0,,ACT,4.0,2026,2.0,5.5,5.5,0.0,0.815,6.75,-1.0,-0.13,current,75% current / 25% prior,6.75,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.1,0.47,0.0,6.53,3.75,44.98,0.17,9.32,7.44,5.57,6.63,0.004,0.213,9.32,0.5,6.1,6.0,0.0,NYG,39.5,0,9.0,1.06,8.5,50% projection,1,1,0.83,High,,"6.1 exp opps (proj 7, recent 6) · WR1 · 21% of team targets · vs NYG (DvP 9, +6%) · High confidence",0.815,5.5,2.0,5.5,0.815,7.6,6.8
00-0039901,Keon Coleman,WR,BUF,MrMasculinity,0,0,0,11637,2026-09-22T22:24:22Z,23.4,2,,ACT,33.0,2024,2.0,3.854166666666667,3.854166666666667,0.0,0.63,7.158333333333333,5.0,0.24,current,75% current / 25% prior,7.433333333333334,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,0.04,0.17,0.0,4.17,2.52,34.81,0.17,7.02,5.76,4.5,4.21,0.001,0.135,7.04,0.5,4.0,4.0,0.0,LAC,50.5,1,8.0,1.068,7.7,50% projection,3,3,0.55,Med,,"4.0 exp opps (proj 4, recent 4) · WR3 · 14% of team targets · vs LAC (DvP 8, +7%) · Med confidence",0.757,6.0,13.0,4.8,0.683,13.2,6.8
