ran_at,season,week,status,fails,warns,detail,note
2026-09-09T23:23:00Z,2026,1,WARN,0,2,player_weeks: no rows yet; status.practice: 0% have practice reports (normal before Wednesday),
2026-09-09T23:24:31Z,2026,1,WARN,0,2,player_weeks: no rows yet; status.practice: 0% have practice reports (normal before Wednesday),
2026-09-09T23:25:41Z,2026,1,WARN,0,2,player_weeks: no rows yet; status.practice: 0% have practice reports (normal before Wednesday),
2026-09-11T23:35:09Z,2026,1,WARN,0,2,player_weeks.volume: suspiciously few rows in week(s) [1]; status.practice: 0% have practice reports (normal before Wednesday),
2026-09-12T17:31:52Z,2026,1,WARN,0,2,player_weeks.volume: suspiciously few rows in week(s) [1]; status.practice: 0% have practice reports (normal before Wednesday),
2026-09-15T21:13:48Z,2026,2,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-15T21:34:09Z,2026,2,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-15T23:21:28Z,2026,2,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-16T18:08:16Z,2026,2,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-17T23:59:01Z,2026,2,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-19T00:20:07Z,2026,2,WARN,0,2,player_weeks.volume: suspiciously few rows in week(s) [2]; status.practice: 0% have practice reports (normal before Wednesday),
2026-09-22T21:37:58Z,2026,3,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-22T22:24:27Z,2026,3,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-23T18:22:06Z,2026,3,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-23T23:56:52Z,2026,3,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-24T15:19:12Z,2026,3,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-24T16:40:34Z,2026,3,WARN,0,1,status.practice: 0% have practice reports (normal before Wednesday),
2026-09-26T00:37:22Z,2026,3,WARN,0,2,player_weeks.volume: suspiciously few rows in week(s) [3]; status.practice: 0% have practice reports (normal before Wednesday),
